date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:08	22/22	------	200	untouched ('OK')	text/plain	etag:%2216-61a97eb4f1634%22	https://yoajung.co.kr/robots.txt		(from )
16:58:08	27478/27478	------	200	untouched ('OK')	text/html	date:Mon,%2019%20Aug%202024%2007:57:36%20GMT	https://yoajung.co.kr/	C:/My%20Web%20Sites/yaj/yoajung.co.kr/index.html	(from )
16:58:09	27912/27912	------	200	untouched ('')	image/png	etag:%226d08-61a97eb992727%22	https://yoajung.co.kr/images/yoajungthumb.png	C:/My%20Web%20Sites/yaj/yoajung.co.kr/images/yoajungthumb.png	(from https://yoajung.co.kr/)
16:58:09	101258/101258	------	200	untouched ('')	image/x-icon	etag:%2218b8a-61a97eb6541fd%22	https://yoajung.co.kr/images/yoajungfavi.ico	C:/My%20Web%20Sites/yaj/yoajung.co.kr/images/yoajungfavi.ico	(from https://yoajung.co.kr/)
16:58:09	25599/25599	------	200	untouched ('OK')	text/css	etag:W/%2263ff-61a97efba678e%22	https://yoajung.co.kr/theme/design/css/default.css?ver=2303229	C:/My%20Web%20Sites/yaj/yoajung.co.kr/theme/design/css/defaultaa39.css	(from https://yoajung.co.kr/)
16:58:09	23450/23450	------	200	untouched ('OK')	text/css	etag:W/%225b9a-61a97f1d23f69%22	https://yoajung.co.kr/theme/design/template/header/style.css?ver=2303229	C:/My%20Web%20Sites/yaj/yoajung.co.kr/theme/design/template/header/styleaa39.css	(from https://yoajung.co.kr/)
16:58:09	17128/17128	------	200	untouched ('OK')	text/css	etag:W/%2242e8-61d098395acca%22	https://yoajung.co.kr/theme/design/template/main/style.css?ver=2303229	C:/My%20Web%20Sites/yaj/yoajung.co.kr/theme/design/template/main/styleaa39.css	(from https://yoajung.co.kr/)
16:58:09	10906/10906	---MCZ	200	added ('OK')	text/css	etag:W/%222a9a-61f3a0e776cdd%22	https://yoajung.co.kr/theme/design/template/footer/style.css?ver=2303229	C:/My%20Web%20Sites/yaj/yoajung.co.kr/theme/design/template/footer/styleaa39.css	(from https://yoajung.co.kr/)
16:58:09	234/234	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2019%20Aug%202024%2007:58:09%20GMT	https://yoajung.co.kr/bbs	C:/My%20Web%20Sites/yaj/yoajung.co.kr/bbs.6.delayed	(from https://yoajung.co.kr/)
16:58:09	93637/93637	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216dc5-61a97eba4a48f%22	https://yoajung.co.kr/js/jquery-1.8.3.min.js	C:/My%20Web%20Sites/yaj/yoajung.co.kr/js/jquery-1.8.3.min.js	(from https://yoajung.co.kr/)
16:58:09	2930/2930	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b72-61a97ebab3828%22	https://yoajung.co.kr/js/jquery.menu.js?ver=2304171	C:/My%20Web%20Sites/yaj/yoajung.co.kr/js/jquery.menub519.js	(from https://yoajung.co.kr/)
16:58:09	21116/21116	---MCZ	200	added ('OK')	application/javascript	etag:W/%22527c-61a97eba9f008%22	https://yoajung.co.kr/js/common.js?ver=2304171	C:/My%20Web%20Sites/yaj/yoajung.co.kr/js/commonb519.js	(from https://yoajung.co.kr/)
16:58:10	11096/11096	---MCZ	200	added ('OK')	application/javascript	etag:W/%222b58-61a97ebabd850%22	https://yoajung.co.kr/js/wrest.js?ver=2304171	C:/My%20Web%20Sites/yaj/yoajung.co.kr/js/wrestb519.js	(from https://yoajung.co.kr/)
16:58:10	5103/5103	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213ef-61a97ebaaa3b8%22	https://yoajung.co.kr/js/placeholders.min.js	C:/My%20Web%20Sites/yaj/yoajung.co.kr/js/placeholders.min.js	(from https://yoajung.co.kr/)
16:58:10	213/213	---M--	403	error ('Forbidden')	text/html	date:Mon,%2019%20Aug%202024%2007:58:10%20GMT	https://yoajung.co.kr/bbs/	C:/My%20Web%20Sites/yaj/yoajung.co.kr/bbs/index.html	(from https://yoajung.co.kr/)
16:58:10	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%227918-61a97eebb337d%22	https://yoajung.co.kr/js/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/yaj/yoajung.co.kr/js/font-awesome/css/font-awesome.min.css	(from https://yoajung.co.kr/)
16:58:10	212/212	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Aug%202024%2007:58:10%20GMT	https://yoajung.co.kr/css/header.css	C:/My%20Web%20Sites/yaj/yoajung.co.kr/css/header.css	(from https://yoajung.co.kr/)
16:58:11	6430/6430	---M--	200	added ('OK')	image/png	etag:%22191e-61a97eb8efd97%22	https://yoajung.co.kr/images/header_01.png	C:/My%20Web%20Sites/yaj/yoajung.co.kr/images/header_01.png	(from https://yoajung.co.kr/)
16:58:11	60342/60342	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2007:58:11%20GMT	https://yoajung.co.kr/bbs/content.php?co_id=brand	C:/My%20Web%20Sites/yaj/yoajung.co.kr/bbs/content639d.html	(from https://yoajung.co.kr/)
16:58:11	1049071/1049071	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2007:58:11%20GMT	https://yoajung.co.kr/bbs/content.php?co_id=menustore	C:/My%20Web%20Sites/yaj/yoajung.co.kr/bbs/content2fed.html	(from https://yoajung.co.kr/)
16:58:11	44832/44832	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2007:58:11%20GMT	https://yoajung.co.kr/bbs/content.php?co_id=franchise	C:/My%20Web%20Sites/yaj/yoajung.co.kr/bbs/content66cb.html	(from https://yoajung.co.kr/)
16:58:12	33731/33731	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2007:58:11%20GMT	https://yoajung.co.kr/bbs/content.php?co_id=membership	C:/My%20Web%20Sites/yaj/yoajung.co.kr/bbs/content2ee8.html	(from https://yoajung.co.kr/)
16:58:12	28584/28584	---MCZ	200	added ('OK')	text/html	date:Mon,%2019%20Aug%202024%2007:58:12%20GMT	https://yoajung.co.kr/bbs/content.php?co_id=community	C:/My%20Web%20Sites/yaj/yoajung.co.kr/bbs/content79d1.html	(from https://yoajung.co.kr/)
16:58:12	1436/1436	---M--	200	added ('OK')	image/png	etag:%2259c-61a97eb93c827%22	https://yoajung.co.kr/images/header_02.png	C:/My%20Web%20Sites/yaj/yoajung.co.kr/images/header_02.png	(from https://yoajung.co.kr/)
16:58:12	2812/2812	---M--	200	added ('OK')	image/png	etag:%22afc-61a97eb949b17%22	https://yoajung.co.kr/images/comming_soon.png	C:/My%20Web%20Sites/yaj/yoajung.co.kr/images/comming_soon.png	(from https://yoajung.co.kr/)
16:58:12	6149/6149	---M--	200	added ('OK')	image/png	etag:%221805-61a97eb730956%22	https://yoajung.co.kr/images/nav_02.png	C:/My%20Web%20Sites/yaj/yoajung.co.kr/images/nav_02.png	(from https://yoajung.co.kr/)
16:58:13	4677/4677	---M--	200	added ('OK')	image/png	etag:%221245-61a97eb6a721d%22	https://yoajung.co.kr/images/nav_01.png	C:/My%20Web%20Sites/yaj/yoajung.co.kr/images/nav_01.png	(from https://yoajung.co.kr/)
16:58:13	2288/2288	---M--	200	added ('OK')	image/png	etag:%228f0-61a97eb69e965%22	https://yoajung.co.kr/images/tt.png	C:/My%20Web%20Sites/yaj/yoajung.co.kr/images/tt.png	(from https://yoajung.co.kr/)
16:58:13	210/210	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Aug%202024%2007:58:13%20GMT	https://yoajung.co.kr/js/header.js	C:/My%20Web%20Sites/yaj/yoajung.co.kr/js/header.js	(from https://yoajung.co.kr/)
16:58:13	6900/6900	---MCZ	200	added ('OK')	application/javascript	etag:W/%221af4-61a97f1d1f149%22	https://yoajung.co.kr/theme/design/template/header/script.js	C:/My%20Web%20Sites/yaj/yoajung.co.kr/theme/design/template/header/script.js	(from https://yoajung.co.kr/)
16:58:14	211/211	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Aug%202024%2007:58:13%20GMT	https://yoajung.co.kr/css/style.css	C:/My%20Web%20Sites/yaj/yoajung.co.kr/css/style.css	(from https://yoajung.co.kr/)
16:58:14	21876/21876	---M-Z	200	added ('OK')	text/css	etag:W/%225574-5n2RH9fpDXWKyNglXtOwv2g1PTY%22	https://cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.css	C:/My%20Web%20Sites/yaj/cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.css	(from https://yoajung.co.kr/)
16:58:14	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-17b8b%22	https://code.jquery.com/jquery-1.12.4.min.js	C:/My%20Web%20Sites/yaj/code.jquery.com/jquery-1.12.4.min.js	(from https://yoajung.co.kr/)
16:58:14	97163/97163	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217b8b-61a97eba2d79f%22	https://yoajung.co.kr/js/jquery-1.12.4.min.js?ver=2304171	C:/My%20Web%20Sites/yaj/yoajung.co.kr/js/jquery-1.12.4.minb519.js	(from https://yoajung.co.kr/)
